Trait,PC1,PC2
Flowering_Date,-0.36076728743430675,-0.08981777956467508
Water_Content,0.05198976246023585,-0.534309139018422
Growth_Rate,-0.04721312686805407,-0.5002375474251164
Bolt_Date,-0.19985463487352104,0.18414329324724882
SLA,-0.09166787014737385,-0.36797669262525656
Num_Trichomes,-0.07145381464797343,0.1405247378753676
Leaf_Totphe,-0.22509246964763738,-0.14945262708996596
Flower_Totphe,-0.2254498018134354,0.3973530636616883
Fruit_Totphe,-0.4110104609432565,-0.1004369814225896
Leaf_Oenothein_A,-0.383759378363035,-0.15949803942723995
Flower_Oenothein_A,-0.4247799445280768,0.2168992196390125
Fruit_Oenothein_A,-0.46187805171169866,-0.0659399546512913
